MICE;EMG;S1;PFC;CA1;RSC;oPFC;EnthC;RH
TraitRouge;22;5_7;;27_29;;9_11;1_3;17_19
TraitBleu;22;27_29;;17_19;;1_3;9_11;5_7
TraitViolet;6;1_3;11;;;25_27;31;23
TraitJaune;22;5_7;17_19;9_11;;27_29;1_3;13_15
TraitVert;22;13;5_7;27_29;;9_11;17_19;1_3
TraitOrange;22;13_15;5_7;27_29;;9_11;17_19;1_3
RondRouge;10;18_19;20_21;14;;17;22_23;
RondOrange;10;18_19;22_23;14_15;;20;12;16_17
RondJaune;10;19;20_21;14_15;;22_23;12;16_17
RondViolet;10;14_15;16_17;22_23;;12_13;20_21;18_19
RondVert;10;18;20_21;14_15;;22_23;13;16_17
RondBleu;10;14_15;16_17;18_19;;12_13;20_21;22_23
RondMarron;10;18_19;20_21;14_15;;22_23;12_13;16_17
RondNoir;10;18;21;14_15;;22_23;12_13;16_17
TriangleBlanc;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleViolet;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleJaune;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleOrange;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleVert;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleBleu;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleMarron;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleRouge;10;18_19;20_21;14_15;;22_23;12_13;16_17
TriangleNoir;10;18_19;20_21;14_15;;22_23;12_13;16_17
