Implant;MouseID;Genotype;Sex;Expe;Virus
TraitRouge;AHAD02.01;APPPS1;Male;Opto;cHR2
TraitBleu;AHAD02.02;WT;Male;Opto;cHR2
TraitViolet;AHAD02.03;APPPS1;Male;Opto;cHR2
TraitJaune;AHAD02.04;WT ;Male;Opto;cHR2
TraitVert;AHAD02.05;APPPS1;Male;Opto;Chr2
TraitOrange;AHAD02.06;APPPS1;Male;Opto;Chr2
RondRouge;AHAD01.37;APPPS1;Male;Opto;Chr2
RondOrange;AHAD01.38;APPPS1;Male;Opto;Chr2
RondJaune;AHAD01.39;WT;Male;Opto;Chr2
RondViolet;AHAD01.40;APPPS1;Female;Opto;Chr2
RondVert;AHAD01.41;WT;Female;Opto;Chr2
RondBleu;AHAD01.42;WT;Female;Opto;Chr2
RondMarron;AHAD01.43;WT;Female;Opto;Chr2
RondNoir;AHAD01.44;APPPS1;Female;Opto;Chr2
TriangleBlanc;AHAD11.60;WT;Male;Opto;Chr2
TriangleViolet;AHAD11.66;WT;Female;Opto;Chr2
TriangleJaune;AHAD11.67;APPPS1;Female;Opto;Chr2
TriangleOrange;AHAD11.68;APPPS1;Female;Opto;Chr2
TriangleVert;AHAD11.75;APPPS1;Female;Opto;Chr2
TriangleBleu;AHAD11.69;APPPS1;Male;Opto;Chr2
TriangleMarron;AHAD11.70;WT;Male;Opto;Chr2
TriangleRouge;AHAD11.71;APPPS1;Male;Opto;Chr2
TriangleNoir;AHAD11.74;WT;Male;Opto;Chr2
CarreRouge;AHAD11.101;APPPS1;Male;Opto;Chr2
CarreMarron;AHAD11.103;WT;Male;Opto;Chr2
CarreNoir;AHAD12.104;APPPS1;Male;Opto;Chr2
CarreBlanc;AHAD12.105;WT;Male;Opto;Chr2
CarreOrange;AHAD12.106;APPPS1;Male;Opto;Chr2
CarreVert;AHAD12.107;WT;Female;Opto;Chr2
CarreViolet;AHAD12.108;WT;Female;Opto;Chr2
CarreJaune;AHAD12.109;APPPS1;Female;Opto;Chr2
EtoileBleu;AHAD21.152;APPPS1;Male;ChemoOpto;hM4D_Chr2
EtoileJaune;AHAD21.153;APPPS1;Female;ChemoOpto;hM4D_Chr2
EtoileViolet;AHAD21.155;APPPS1;Female;ChemoOpto;mCherry_Chr2
EtoileOrange;AHAD21.157;APPPS1;Female;ChemoOpto;mCherry_Chr2
Nan;AHAD02.07;APPPS1;Female;Opto;Nan
Nan;AHAD02.08;APPPS1;Female;Opto;Nan
Nan;AHAD11.61;WT;Male;Opto;Nan 
Nan;AHAD11.62;WT;Female;Opto;Nan
Nan;AHAD11.63;WT;Female;Opto;Nan
Nan;AHAD11.65;WT;Female;Opto;Nan 
Nan;AHAD11.58;APPPS1;Male;Opto;Nan 
Nan;AHAD11.59;APPPS1;Male;Opto;Nan 
Nan;AHAD11.72;APPPS1;Male;Opto;Nan 
Nan;AHAD11.73;APPPS1;Male;Opto;Nan 
Nan;AHAD11.64;APPPS1;Female;Opto;Nan
